internal_nodes,leaf_nodes,pop_size,max_gens,max_tree_size,crossover_rate,mutation_rate,coeff_opt_rate,tournament_size,best_training,best_test,average_fitness,time_elapsed,num_evals
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.875,0.01,0.01,2,"[-497.59218809479063, -524.9811106014694, -490.3252811535001, -351.06371129515594, -438.61078517895885, -436.1566687783908, -411.4188590478177, -484.8057186573128, -475.2944635509851, -191.1025020574954, -383.5897134503531, -67.73423757440284, -204.40542886375874, -468.12560987656565, -49.93267489739526, -136.85443929267228, -311.4661906694406, -338.75091501127804, -201.1440146657849, -226.02463917875076, -363.9986835446019, -320.3965729732059, -224.69423845114085, -44.53095079653876, -131.86783169978156, -121.10488623436251, -128.69280619494123, -55.68379023185235, -178.5986260565997, -113.24681050334954, -80.55728341068452]","[-1395.3937857439232, -1181.4670079450748, -1395.3937857439232, -1846.3116923605003, -1181.4670079450748, -1391.9455949382436, -1394.8374369690885, -1372.6581904400753, -1435.7706519218982, -35.24489701202805, -35.24489701202805, -157.8616476310331, -379.096152325298, -80.45538717689726, -73.7776478461775, -73.7776478461775, -73.7776478461775, -1120.937728022742, -1773.6112810303503, -553.231327656744, -553.231327656744, -654.8686322594865, -902.031635651864, -113.2936554786232, -186.45014628967965, -55.73334190027238, 122.92660487359831, -232.8311682664496, -420.37057841999757, -461.59153747086543, -461.59153747086543]","[-2091.2971528670037, -1518.7475810228832, -1469.1005808684781, -1182.904334499348, -974.6269738326798, -913.592494891771, -851.8123542500384, -819.8805150723084, -815.4963013412323, -829.241127654645, -740.350677637665, -1034.3428282103407, -867.7131225155417, -802.1549046068479, -914.542887994801, -770.4391003558144, -1035.1747424189675, -849.3357911662637, -1072.2947129219613, -723.3730184072018, -821.5748123989564, -818.797465443483, -638.2572312550849, -765.1183995376136, -834.2820976963226, -640.9882316138023, -610.9924637456983, -773.3694349883868, -763.5336379249816, -636.0871512432475]","[17.31310749053955, 40.16860508918762, 60.614198446273804, 81.00374698638916, 100.56373047828674, 120.75144815444946, 141.75597429275513, 161.72161483764648, 182.6279091835022, 202.92174887657166, 222.7204349040985, 243.73482632637024, 265.0843315124512, 286.53590273857117, 306.1249575614929, 327.0188252925873, 345.70743584632874, 365.5280051231384, 387.54426622390747, 411.02626943588257, 433.0543668270111, 453.9090917110443, 473.56711196899414, 490.92771673202515, 507.6629207134247, 525.8719403743744, 543.8480787277222, 561.9494400024414, 581.3922417163849, 601.0446951389313]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.875,0.025,0.01,16,"[-503.2251762777364, -438.99001498168855, -501.7458832399591, -364.92363215263566, -330.4543980583288, -413.53411469713217, -342.0022583412797, -387.6604990698132, -337.64828612802773, -403.59558867041835, -417.07025991052785, -395.6571087534455, -310.96788596233904, -247.8062499229535, -239.91338772892897, -313.0229316318979, -186.71643622878312, -239.08231029507408, -272.44982832101545, -197.0893126866606, -238.75142501246808, -233.69441893124315, -225.95122414736542, -224.92699179193912, -108.0538137974068, -241.74914104524004, -67.66987251970986, -216.56735238334485, -164.59023395518216, -249.4064707513887, -220.8510683923571]","[-1380.5314679631965, -1380.5314679631965, -1376.0854552796225, -1114.9304131501676, -1075.6571938812563, -1180.6734193419943, -1114.9304131501676, -1612.707140448616, -1080.693531050955, -1078.8761963513675, -1612.707140448616, -1076.7259352100764, -1111.9029084775034, -1112.194893788289, -1112.194893788289, -1375.176289200329, -1113.3449529132668, -1369.9764459777364, -2527.449531752252, -1375.7036181057986, -1375.7036181057986, -1377.8005443208174, -1375.7036181057986, -1568.911307678527, -1375.7036181057986, -1565.3657100034602, -1565.3657100034602, -1565.3657100034602, -1032.3251750803709, -1059.187584059136, -533.1274449701568]","[-1013.2417798827003, -788.7878095409874, -687.4392131238454, -746.8424102867003, -868.1997768894138, -851.4944889155279, -836.5217008542777, -766.3288176650883, -993.9600684249144, -757.8288538116992, -860.4341792126522, -676.242502051955, -651.4590309088215, -688.2550249665088, -694.402234294731, -680.7646376167345, -828.1509308089812, -651.9641212529184, -675.4177959298792, -553.1626862473313, -543.4007291222196, -622.0038206715623, -730.346047630813, -607.1677254583959, -480.65699189690577, -638.9748142318109, -710.1660378466562, -753.8973127267171, -640.7638308744407, -627.4048727742256]","[11.553819417953491, 28.999377250671387, 46.84833097457886, 64.20030164718628, 82.4685628414154, 102.36148381233215, 123.19040393829346, 144.28325033187866, 164.50120162963867, 187.1400649547577, 209.74256420135498, 232.1749255657196, 254.3248267173767, 276.97926020622253, 300.1994333267212, 324.3346176147461, 350.37146639823914, 378.35046648979187, 405.1250686645508, 434.7380893230438, 459.87360668182373, 482.2401909828186, 506.0453133583069, 530.0876367092133, 555.3026432991028, 576.7194557189941, 601.3144438266754, 634.500390291214, 669.264613866806, 702.7377722263336]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.875,0.025,0.025,2,"[-518.4561103152241, -458.95438683090845, -448.14192185627576, -409.9225217397206, -293.52715547338454, -440.86270313650687, -366.2669579609264, -343.86430780701414, -393.0054953853237, -256.16165515726595, -365.7606442449294, -267.2956645177754, -379.45819380819023, -370.4955051306224, -216.74506958416248, -185.50348777840026, -273.34578094401934, -283.2416697049173, -405.2524829700279, -248.58356864698052, -1.6726239449271887, -219.21717840056198, -193.23275994098213, -72.13063832415048, 124.74251765035812, -158.3003733827326, -67.16949052476924, 8.186634510527028, -81.01825613310052, 183.00195707729418, 198.26684444458772]","[-1384.5311861705864, -1394.8420057041362, -1127.827539695946, -1993.0952457680185, -4499.693811622987, -5011.459391292316, -575.7767216079467, -964.8181891065456, -1633.2132771275997, -653.4829377025137, -657.0570136106744, -653.4829377025137, -1392.7886295450426, -948.0393632457682, -682.1296894560048, -3945.7397866546416, -744.4687090216939, -846.1261108261406, -1370.1893215767686, -2400.023248788153, -841.5879432297503, -438.44154850922155, -415.383851374451, -2053.735607007481, 126.44771873848075, -1178.9440720402379, -1276.861107219762, -253.29804919700837, -558.2797751394863, 34.93171034392418, -348.62258684563676]","[-1579.0269198371855, -1386.4460213434204, -1130.0802289255623, -959.6516897323561, -1050.7142955512822, -794.5512854504861, -825.1327801532677, -834.5539087722715, -795.0222787422983, -990.9939502192535, -719.0111246500503, -784.1042284002176, -825.4327368679213, -711.5878690819659, -851.1642666991552, -752.5785761301638, -737.8307336323571, -629.6527521055023, -658.996478328231, -644.4957631158029, -791.3952919451965, -652.3721891153676, -627.6909580698344, -620.3074767911819, -940.6009828074313, -652.79996767883, -507.1395188089817, -648.3297459261868, -785.2449933288951, -652.7007018111757]","[22.263018369674683, 59.2269344329834, 109.57830548286438, 140.22010827064514, 165.8381974697113, 192.8742799758911, 219.54944801330566, 246.6311490535736, 268.9339849948883, 292.56833720207214, 319.83052706718445, 341.54110527038574, 365.06218218803406, 386.83645701408386, 412.4528286457062, 432.85794711112976, 456.0035312175751, 478.0230038166046, 500.21902775764465, 529.7559792995453, 554.7171294689178, 579.2232582569122, 602.0799160003662, 627.606648683548, 656.8994617462158, 685.6263854503632, 716.4391942024231, 745.4491889476776, 771.1963970661163, 795.3333520889282]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.875,0.025,0.025,4,"[-553.6349494215456, -411.08699964439916, -430.3620831108785, -375.9276127130688, -358.516758458157, -290.08242580019987, -418.5574356310404, -385.23777473113546, -313.79250422839675, -281.4304429007315, -336.27193480364383, -179.56011268073627, -247.01235858279392, -12.876906802079588, -188.13300993542146, -8.471623893037687, -132.39874149047532, -49.231498869316724, -95.56402973526086, -50.53261624468858, -67.34942841578567, -44.6182901557803, -22.841373275423223, -94.64907882877881, -67.76788436134825, 83.80252998291766, -40.648379410502855, -36.348226906559944, -37.02011568793972, 99.95368614319518, 77.65029499976082]","[-1559.1937664754562, -1391.9455949382436, -1483.9902275166787, -1482.4217695195946, -2119.5895641894813, -2119.5895641894813, -2119.5895641894813, -2193.700406484465, -1290.601092937939, -1037.4564028983, -2119.5895641894813, -953.4040896838925, -763.6956649818222, -953.4040896838925, -954.6091279267933, -954.6091279267933, -954.6091279267933, -683.8699624104664, -959.1224512318381, -958.6487565244586, -863.4646241238748, -797.4966017061216, -863.4646241238748, -893.9104247830898, -971.7779050022664, -893.9104247830898, -795.9188104860223, -741.7501954442298, -674.6037154440236, -700.5676061954379, -676.6401063562979]","[-1402.931224674452, -1017.8536648560378, -915.1536430177453, -997.2983447422812, -853.967210173607, -836.9103920567668, -818.7793682900759, -961.7975332363759, -902.9969612733892, -1000.0984361579117, -759.7486177436822, -777.8160261866477, -677.407420282763, -786.0420289213605, -705.2188395044861, -552.417377369439, -592.1505397560577, -635.9343774100147, -711.3955570807202, -852.8359882070174, -737.411280508139, -503.9067052979978, -555.3554543875387, -628.2616302485835, -443.95063668416174, -547.8227424313275, -710.5411679803706, -568.7832091634981, -540.6716966930383, -502.22502245879673]","[16.970551013946533, 39.32205629348755, 60.17074227333069, 80.148024559021, 105.38657474517822, 126.1089780330658, 147.062513589859, 168.00838541984558, 190.46491169929504, 212.12245845794678, 233.68333864212036, 256.7666919231415, 279.53234481811523, 304.1997139453888, 329.13593435287476, 356.348895072937, 382.28208661079407, 412.2144284248352, 441.66154170036316, 468.9475712776184, 497.1032340526581, 525.7563574314117, 552.9509770870209, 580.0116593837738, 607.5187685489655, 634.1180732250214, 659.3124628067017, 690.3712706565857, 720.2048306465149, 745.8624987602234]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.875,0.025,0.025,8,"[-506.9106282936083, -460.7648744255182, -253.97436089071618, -509.95682981750076, -413.1394821578614, -411.1117583852276, -368.7570826165905, -171.82454504566243, -38.78858165919786, -129.63635844552505, -32.65184061214737, 165.65187578254668, 55.19369672432791, 41.97183578089788, 137.35035793736532, 92.59712614034225, 33.81877892775869, 206.2540387152009, 218.86340998707317, 244.7878537537046, 186.2502940274867, 106.40956511219088, 205.39991045292055, 200.78524773899233, 198.23537894920742, 269.74865124998814, 150.5133693625076, 309.5009697217097, 236.3501880656345, 458.1654796367102, 193.04988140992634]","[-1262.477047885085, -1364.5680957118275, -1393.621888028431, -2648.331411289199, -1764.3720158393705, -842.1042171741124, -593.2707685512671, -596.4973732883316, -521.4559356521092, -137.8336693232631, -137.8336693232631, -137.8336693232631, -137.8336693232631, -173.67885269615758, -163.39927029423035, -93.33104136631631, -163.39927029423035, -93.33104136631631, -93.33104136631631, -96.57239322629621, -142.23445242544653, -96.57239322629621, -142.23445242544653, -90.4373337037456, 128.07682027151395, 128.07682027151395, 128.07682027151395, 128.07682027151395, 344.64456547318434, 127.49163228564781, 125.07259785800397]","[-1045.3705532140789, -741.6798685830452, -783.5938629982489, -694.9867518209139, -837.314101364134, -799.7512251685487, -654.1096994847342, -781.1589024083091, -872.8803291051016, -845.8411486615095, -791.4543864313549, -678.0009517289918, -540.1365118294497, -465.4148552875313, -927.357925188312, -476.43785155602575, -590.3185971779542, -856.130531407724, -733.567747233571, -770.6848981674009, -523.6127636882782, -572.4003457258098, -902.0320307250933, -727.903887574721, -753.4621538462706, -1016.3165667339322, -867.1665540067124, -741.1883819888749, -783.5237044670862, -645.3211521126152]","[18.39944362640381, 40.49084734916687, 61.1439425945282, 81.76430177688599, 104.43456554412842, 125.90006303787231, 147.91332173347473, 168.13977575302124, 187.25283646583557, 206.73071336746216, 226.67758798599243, 249.42106556892395, 272.4613709449768, 296.5634574890137, 319.47331833839417, 343.0456705093384, 367.27775597572327, 390.30959486961365, 413.8216133117676, 437.3916389942169, 459.4472060203552, 483.78463888168335, 506.78237676620483, 531.8840818405151, 556.6120812892914, 579.2549908161163, 603.7073891162872, 628.582439661026, 652.9363446235657, 679.1086237430573]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.875,0.025,0.025,16,"[-513.5397019242234, -287.72443210658963, -276.80813088087075, -268.8730075395266, -305.5524970655613, -265.49778877158207, -252.71554873477402, -319.847648182803, -294.0502221507836, -183.99657654321658, -199.64643876870775, -242.70713979051567, -192.98707571814666, -235.21396332944187, -122.2149410380787, -153.1178457239133, -188.06865420629657, -71.66494074820325, -95.41994181237118, -67.90240101961791, -17.083167778635072, -94.12438905509696, -142.2929630707988, -82.37277234293823, -79.12678342095458, -16.204112703911363, 103.18977922696752, 5.04670031598123, 3.801557580802047, -14.434349890734865, 69.0796669181719]","[-1505.9157402302192, -977.2533269056265, -949.8082864802892, -1289.4050408698938, -1017.8452320698639, -977.2533269056265, -1018.8389947596917, -1018.8389947596917, -936.4154047292908, -926.8122786800344, -926.8122786800344, -933.2382550802462, -795.6186187192329, -692.9629045028018, -795.6186187192329, -795.6186187192329, -667.9503802990795, -667.9503802990795, -1427.6869942791243, -795.6186187192329, -191.12238056272997, -522.824340643699, -546.1930615911535, -546.1930615911535, -1654.0849632608456, -522.4727043935105, -851.8531802281817, -557.0144641380914, -884.8697997248336, -522.824340643699, -884.8697997248336]","[-907.2057481360027, -681.69780115353, -750.9581412941541, -641.1851144312452, -558.8779899697981, -743.0869134292695, -725.5035915534295, -672.1936278910887, -695.5006850829006, -690.1510030106808, -626.5380841254599, -662.0883278030808, -619.9754047994211, -517.076401554971, -505.5972165618109, -581.5454479260131, -493.90441712089057, -470.3498709079256, -542.924479611577, -516.5818969178713, -626.8056118782434, -612.7787557560243, -641.2350157933081, -567.7822361047138, -894.2887428271354, -654.3050875416506, -645.5530874784358, -643.9436494002175, -611.2215305974706, -511.77739473361316]","[14.364444255828857, 33.35032606124878, 52.03367900848389, 71.34152555465698, 90.02766227722168, 107.78438019752502, 125.74469780921936, 142.43219256401062, 155.4964461326599, 171.33136558532715, 188.93086075782776, 206.48844194412231, 224.3562150001526, 238.45391988754272, 251.61976766586304, 266.27268385887146, 279.2661075592041, 292.2936518192291, 305.98642802238464, 319.71366333961487, 334.2932677268982, 351.5776460170746, 368.1152834892273, 384.74826526641846, 400.45144867897034, 417.2686674594879, 435.5345947742462, 450.8762266635895, 468.8502719402313, 486.59387946128845]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.875,0.025,0.05,2,"[-527.8595539718159, -373.7519824764411, -495.2147122083773, -462.1733699808522, -422.3598543072562, -419.02722007367976, -403.91233070790156, -370.47109370777076, -386.87586864755946, -378.23723144218474, -393.6017620122757, -346.94644099202264, -360.1528003087947, -375.44741681424426, -286.42613252351816, -322.78401302138224, -297.8592775650082, -320.12494764245184, -305.33156034528633, -294.3415876473823, -60.17017102796957, 71.51781523808614, -89.76798223460247, -4.688099379696666, -11.13186213620967, -40.38296337210511, 25.971679026334918, 156.07725965287344, 213.60974976072407, 333.0003310954829, 235.34217366257957]","[-1210.2128591554251, -2614.0656824213456, -1371.7931120090152, -1396.3248918185836, -1393.621888028431, -1392.4724755007533, -1010.84637411946, -1411.899555441484, -892.8048951240927, -1036.637973047563, -899.1572393416654, -892.6733194843544, -898.9793325055241, -876.9178555332038, -945.9001637808126, -899.3203476214035, -899.3203476214035, -1026.7330863786262, -928.1831287233185, -892.5491806377878, -5.73080368794303, -5.73080368794303, -5.73080368794303, -7.176236519933866, -5.73080368794303, 0.8250345283699403, -6.432327259897342, 120.92827090880644, 151.70060350038952, -436.271085174638, -25.306724371893484]","[-1780.8457447877122, -1446.9297663473099, -1288.229836784451, -969.0873977651867, -884.5278234263944, -828.5072165956872, -990.5062815254614, -951.8264293116367, -809.9114734499061, -821.1376466411859, -700.4981275983447, -774.5470119152352, -685.2308737863697, -734.4001662987121, -640.5790296558864, -593.1194619917544, -731.905901331694, -710.3986090043018, -638.6765969483417, -714.2160182583834, -538.5031849800122, -758.2114169541337, -602.3843358451961, -673.1202343437876, -594.4350542465123, -545.6597653299788, -443.98001414121575, -464.46143760977355, -427.5969842785364, -459.4621651985119]","[12.406530618667603, 32.51437592506409, 50.44876027107239, 68.422696352005, 84.85643219947815, 100.08002471923828, 115.08522057533264, 129.91652631759644, 144.82941031455994, 159.65449690818787, 174.24169635772705, 189.01620960235596, 204.1448051929474, 218.74792551994324, 236.2301573753357, 253.8748619556427, 272.0251910686493, 291.5779094696045, 311.4729838371277, 332.24811124801636, 352.1154570579529, 372.52170753479004, 393.8407428264618, 414.3649733066559, 434.36504316329956, 453.6503643989563, 472.58849024772644, 492.54379653930664, 512.6100196838379, 534.6378717422485]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.875,0.025,0.05,4,"[-508.7649152011568, -557.1556944075702, -383.3926624154719, -281.2577082888333, -61.73546803028273, -21.992019680627543, -136.35611234854065, -280.8748343628914, -175.5098399935136, -105.23247968317659, -188.13337238017783, -201.28539346402482, -112.58636243076211, -103.6064212320491, -103.72701361568221, -151.83464051832328, -45.5510871363184, -97.89051088688572, -93.46129914692956, -220.05164938849975, 18.364450744946904, -62.800413250730834, -142.27764539147617, -30.873669948329898, -178.0584806638068, -107.39375434166116, -97.01909442080644, -147.04821283529563, -136.96987784676608, 27.499871965500816, -120.36172218724039]","[-1490.4050553244206, -1113.663122934231, -1414.5323378836047, -674.3310032138004, -1517.1884357904894, -978.4203790028355, -1220.5987166720613, -792.4896555482744, -675.1337098659759, -1184.3473988020405, -675.1337098659759, -983.4870420988171, -983.4870420988171, -983.4870420988171, -983.4870420988171, -987.4110253951211, -957.5932215238106, -983.4870420988171, -974.7366292405836, -1011.3710817834946, -811.2122978411853, -811.2122978411853, -910.4956085364745, -950.5627750401397, -893.9311591720267, -978.7438115016898, -996.4471682741857, -987.6248234479006, -836.8191447104184, -836.8191447104184, -811.2122978411853]","[-1503.0850721025834, -1025.488590570473, -750.8678791636177, -776.4484189601242, -969.8519356193001, -811.1878599755403, -736.6368771516734, -801.139909786873, -615.4436380405746, -736.0611110830391, -771.8281815008033, -754.927759784329, -668.086412050191, -635.0196008413554, -616.0434022514312, -676.1995957418242, -715.5419553764272, -704.1456525487645, -874.5055548194531, -888.6675377530535, -653.6721798417334, -813.6490726124966, -879.7053130638003, -825.266848095958, -812.9629269456743, -767.3036182308922, -697.7280409517696, -756.7227558881366, -815.8065884723621, -659.8563240321475]","[13.597277402877808, 31.563724517822266, 48.74262619018555, 65.63677597045898, 81.89288139343262, 98.08334612846375, 112.57294178009033, 127.71873831748962, 144.83106756210327, 161.50381588935852, 179.35953092575073, 196.73208498954773, 214.19320058822632, 231.68583369255066, 249.55630445480347, 268.13112354278564, 287.5452973842621, 307.6409032344818, 328.0678024291992, 347.6394729614258, 365.51937651634216, 386.25003242492676, 406.1692934036255, 426.4387307167053, 446.54731249809265, 466.9079518318176, 487.3585240840912, 508.8637375831604, 529.909743309021, 553.1486275196075]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.875,0.025,0.05,8,"[-711.9984423768474, -437.13925553456374, -466.725669907457, -390.9704822630632, -376.50016431968345, -172.78661920972627, -294.32973750953266, -300.02223317641426, 10.01937450222755, 426.0158351189874, 365.8093915058075, 496.5455920283543, 399.7088362148394, 342.9724626009572, 497.00385164384477, 488.7286026025813, 735.212005602501, 394.1307500627705, 494.4272503066407, 479.35594069379897, 372.8650815469657, 609.6554233971626, 373.62810183355356, 504.6810416030969, 458.4135878264113, 341.89896714040026, 512.2325576801705, 429.22259085581527, 337.5332052790205, 586.0457303131234, 464.95451428599813]","[-1317.1071113170553, -2735.2290026794026, -2735.2290026794026, -2790.487291456865, -1063.123123089262, -1424.4108452054393, -1062.966197835734, -722.5718154735162, -918.3707773517839, -344.76908841125504, -369.4809421155239, -133.9790493908481, -133.9790493908481, -87.70354960615482, -22.185835176653825, -22.185835176653825, -22.185835176653825, -133.9790493908481, -22.185835176653825, -22.185835176653825, -349.5426533424495, -349.5426533424495, -22.185835176653825, -403.60033215803605, -403.60033215803605, -375.20517774562245, -459.3784168322637, -245.31256794539803, -22.185835176653825, 307.63497034640307, -467.2709148071117]","[-1285.783761145989, -1024.128728359448, -841.9457301117291, -859.4154988904734, -636.7465025760921, -674.3928823173908, -681.7587815953119, -686.7486947340464, -647.6141838050219, -666.2986646069223, -493.65121214630096, -513.3600833191904, -438.8019673592281, -444.06843757022625, -355.6654958281699, -482.2681006715419, -312.09860309774643, -330.61766363575686, -259.2693520114344, -441.2900346191447, -382.3196462865161, -438.5687262693921, -457.69091314253967, -352.6979751316286, -444.8749417332143, -169.1443747924274, -347.641127022541, -285.6091725329202, -278.6523215002812, -375.4273587035155]","[13.002785682678223, 30.71779727935791, 47.95063591003418, 64.3248724937439, 81.3500747680664, 98.42734026908875, 115.75765776634216, 133.40641450881958, 151.9373996257782, 169.5597608089447, 188.67501378059387, 208.96839880943298, 229.60248565673828, 249.09113812446594, 270.54016494750977, 290.7503306865692, 309.0024423599243, 327.2406289577484, 344.26469683647156, 361.888676404953, 379.6745402812958, 397.51060914993286, 415.21240401268005, 432.5944700241089, 450.5874297618866, 468.4237651824951, 486.91314148902893, 502.8035657405853, 520.003942489624, 536.8354473114014]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.875,0.025,0.05,16,"[-465.25010469831255, -126.41063846804741, -116.86576846505497, -194.1214417005755, -11.285004468661441, -270.9855545375401, -132.6635793224603, -25.91521318347411, -130.66005633784474, -72.61437708673213, -115.89890161488216, -242.68536643368515, -148.3581519997103, -261.50989041339733, -230.76387926157577, -127.76603559976063, -106.47207709832753, -168.1106771217542, -100.21914225818935, -152.77196894776807, -221.18210151898433, -222.3166472870311, -120.63207914622299, -23.911801179669766, 31.755801264636133, -280.9237204913987, -84.29785364886637, -171.07577120361347, -234.15748187436847, -117.15512955181104, -112.40974970967244]","[-2031.060257268536, -1964.8655815444345, -1690.9581447789242, -1511.4901071040902, -2171.9405441158624, -1511.4901071040902, -1521.7209450066835, -2245.0802322049362, -1931.5761364897464, -1931.5761364897464, -1931.5761364897464, -1931.5761364897464, -2537.1486330614957, -2537.1486330614957, -2226.875536404693, -2419.5330525111126, -2419.5330525111126, -2417.018312137372, -2417.018312137372, -2099.96030445963, -1387.621877098888, -2424.6512282519407, -2385.2214548768516, -2424.6512282519407, -2424.6512282519407, -2385.2214548768516, -2424.6512282519407, -2424.6512282519407, -2385.2214548768516, -2424.6512282519407, -2433.886356205242]","[-1020.25443500765, -828.2396271620236, -813.0729611386914, -724.4612979909866, -787.6555037493404, -736.0918748635665, -849.0920294350974, -610.3007919912573, -796.6013703148091, -784.1914394793307, -818.1990833430759, -887.8279669017323, -798.0688496410849, -821.9593089486816, -731.3933997156348, -795.3166768684432, -742.5039653874745, -750.0396499821331, -734.6072606192836, -683.4579477506124, -668.6929414000485, -771.3541347117788, -730.5562572659283, -739.761106080036, -764.9107836753952, -813.0297149155155, -792.542834104599, -730.502268591575, -761.6423752387471, -637.87917069279]","[11.77490520477295, 31.02107858657837, 46.44342613220215, 64.99638295173645, 82.50648522377014, 100.95412683486938, 118.68475127220154, 134.66998720169067, 149.52110958099365, 167.14985609054565, 184.49387669563293, 202.59064865112305, 220.17727756500244, 237.16331577301025, 251.94484210014343, 266.41463899612427, 281.2978889942169, 294.9067032337189, 307.7559723854065, 321.39287281036377, 336.3377447128296, 351.92139887809753, 366.7940945625305, 382.29916882514954, 397.4912428855896, 414.5460693836212, 431.1123332977295, 448.5222158432007, 466.16444635391235, 483.87426948547363]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
